healpix, glon, glat, ra, dec
381, 161.26355, 12.43514, 88.26923, 51.25581
382, 160.17980, 10.54713, 84.80769, 51.25581
383, 159.84316, 13.12310, 88.20000, 52.80185
384, 161.08804, -18.33708, 56.25000, 31.38817
385, 161.07952, -16.49198, 57.65625, 32.79717
386, 159.17771, -18.00538, 54.84375, 32.79717
387, 159.18356, -16.15491, 56.25000, 34.22887
388, 161.01567, -14.64253, 59.06250, 34.22887
389, 160.89452, -12.78899, 60.46875, 35.68533
390, 159.13077, -14.29834, 57.65625, 35.68533
391, 159.01719, -12.43586, 59.06250, 37.16890
392, 157.28100, -17.60149, 53.43750, 34.22887
393, 157.29972, -15.74431, 54.84375, 35.68533
394, 155.40073, -17.12303, 52.03125, 35.68533
395, 155.43060, -15.25750, 53.43750, 37.16890
396, 157.25635, -13.87904, 56.25000, 37.16890
397, 157.14856, -12.00574, 57.65625, 38.68219
398, 155.39482, -13.38158, 54.84375, 38.68219
399, 155.29079, -11.49518, 56.25000, 40.22818
400, 160.71366, -10.93166, 61.87500, 37.16890
401, 160.47013, -9.07080, 63.28125, 38.68219
402, 158.84018, -10.56766, 60.46875, 38.68219
403, 158.59652, -8.69386, 61.87500, 40.22818
404, 160.16041, -7.20672, 64.68750, 40.22818
405, 159.78029, -5.33967, 66.09375, 41.81031
406, 158.28228, -6.81459, 63.28125, 41.81031
407, 158.23915, -4.62285, 65.32258, 43.40686
408, 156.97342, -10.12444, 59.06250, 40.22818
409, 156.72733, -8.23511, 60.46875, 41.81031
410, 155.11522, -9.59813, 57.65625, 41.81031
411, 155.13337, -7.49529, 59.51613, 43.40686
412, 156.71556, -6.08818, 62.41935, 43.40686
413, 156.69905, -3.91041, 64.50000, 44.99388
414, 155.14917, -5.36443, 61.50000, 44.99388
415, 155.15855, -3.20193, 63.62069, 46.57185
416, 153.53974, -16.56749, 50.62500, 37.16890
417, 153.57883, -14.69162, 52.03125, 38.68219
418, 151.70083, -15.93224, 49.21875, 38.68219
419, 151.74699, -14.04363, 50.62500, 40.22818
420, 153.54856, -12.80272, 53.43750, 40.22818
